game_id,venue,venue_time_zone_tz
2014020709,Verizon Center,EDT
2014020007,CONSOL Energy Center,EDT
2014020564,Scotiabank Saddledome,MDT
2014020719,Scotiabank Saddledome,MDT
2014021048,Scotiabank Saddledome,MDT
2014021086,Canadian Tire Centre,EDT
2014021022,Amalie Arena,EDT
2014021178,Rexall Place,MDT
2014020397,Nassau Coliseum,EDT
2014020003,Scotiabank Saddledome,MDT
2014020931,Rexall Place,MDT
2014020452,CONSOL Energy Center,EDT
2014020023,Nassau Coliseum,EDT
2014020750,Scottrade Center,CDT
2014020445,Pepsi Center,MDT
2014020597,Honda Center,PDT
2014020360,Rexall Place,MDT
2014020113,Bridgestone Arena,CDT
2014021025,Rogers Arena,PDT
2014021066,Xcel Energy Center,CDT
2014020423,Wells Fargo Center,EDT
2014020018,TD Garden,EDT
2014020443,American Airlines Center,CDT
2014020673,United Center,CDT
2014020748,Nationwide Arena,EDT
2014020916,SAP Center at San Jose,PDT
2014020581,Honda Center,PDT
2014020418,SAP Center at San Jose,PDT
2014020907,Honda Center,PDT
2014020796,SAP Center at San Jose,PDT
2014020899,Scottrade Center,CDT
2014020912,BB&T Center,EDT
2014020784,Scottrade Center,CDT
2014021177,Gila River Arena,MST
2014021141,Gila River Arena,MST
2014020923,BB&T Center,EDT
2014020782,Rogers Arena,PDT
2014020549,Nationwide Arena,EDT
2014020808,SAP Center at San Jose,PDT
2014020283,Canadian Tire Centre,EDT
2014020048,United Center,CDT
2014020733,Wells Fargo Center,EDT
2014020209,Verizon Center,EDT
2014021049,Rogers Arena,PDT
2014020328,CONSOL Energy Center,EDT
2014020562,Xcel Energy Center,CDT
2014020517,Madison Square Garden,EDT
2014020072,Gila River Arena,MST
2014020011,Scottrade Center,CDT
2014020897,PNC Arena,EDT
2014020046,STAPLES Center,PDT
2014020154,Air Canada Centre,EDT
2014020239,Scotiabank Saddledome,MDT
2014020547,TD Garden,EDT
2014020586,Centre Bell,EDT
2014020090,CONSOL Energy Center,EDT
2014020989,Gila River Arena,MST
2014020778,Centre Bell,EDT
2014021035,Verizon Center,EDT
2014020786,Verizon Center,EDT
2014020566,TD Garden,EDT
2014020298,Amalie Arena,EDT
2014021123,PNC Arena,EDT
2014020479,STAPLES Center,PDT
2014020002,TD Garden,EDT
2014020501,Honda Center,PDT
2014020240,Rexall Place,MDT
2014020116,Scotiabank Saddledome,MDT
2014020489,Rogers Arena,PDT
2014020093,TD Garden,EDT
2014020518,CONSOL Energy Center,EDT
2014020883,Levi's Stadium,PDT
2014020188,Wells Fargo Center,EDT
2014020290,SAP Center at San Jose,PDT
2014021213,Rogers Arena,PDT
2014020440,Verizon Center,EDT
2014020663,Canadian Tire Centre,EDT
2014020196,SAP Center at San Jose,PDT
2014020127,CONSOL Energy Center,EDT
2014020276,Gila River Arena,MST
